title,category,method,tok_s,tok_s_std,tok_s_repeat_std,speedup_batch,speedup_prompt,speedup_prompt_std,accept_len,accept_len_std,accept_pct,accept_pct_std,draft_per_output,draft_per_output_std,verified_per_output,verified_per_output_std,ms_per_output,ms_per_output_std,ms_per_output_repeat_std,root_top1,root_top1_std,root_top5,root_top5_std,model_load_ms,model_load_ms_std,prepare_ms,prepare_ms_std,prefill_ms,prefill_ms_std,draft_setup_ms,draft_setup_ms_std,draft_ms,draft_ms_std,verify_ms,verify_ms_std,learn_ms,learn_ms_std,overhead_ms,overhead_ms_std,match
specbench / int4_genai (n=20),multi-turn conversation,baseline,256.2744,7.7266,0.0000,1.0000,,,1.0000,0.0000,,,0.0000,0.0000,1.0000,0.0000,3.9055,0.1204,0.0000,,,,,11394.01,0.00,0.27,0.06,4.97,0.38,0.00,0.00,0.00,0.00,1.55,0.04,0.00,0.00,2.35,0.09,
specbench / int4_genai (n=20),multi-turn conversation,pld,302.5103,135.6978,0.0000,1.0206,1.1809,0.5298,1.8216,0.9828,0.3199,0.3143,1.3160,0.3229,1.9871,0.5470,3.8269,1.2667,0.0000,0.4091,0.2827,0.5207,0.2357,11394.01,0.00,0.27,0.06,5.01,0.44,0.00,0.00,0.03,0.01,3.05,0.39,0.00,0.00,2.77,0.16,0.8523
specbench / int4_genai (n=20),multi-turn conversation,copyspec,333.9559,115.8046,0.0000,1.1908,1.3033,0.4494,1.6314,0.9069,0.4979,0.3386,0.3773,0.2599,1.1305,0.0846,3.2797,0.8814,0.0000,0.6863,0.2591,0.8086,0.2050,11394.01,0.00,0.27,0.06,4.89,0.36,0.00,0.00,0.03,0.01,2.09,0.62,0.00,0.00,2.51,0.20,0.9406
specbench / int4_genai (n=20),multi-turn conversation,pld_plus,305.7217,132.4788,0.0000,1.0428,1.1936,0.5174,1.8195,0.9817,0.3189,0.3137,1.3176,0.3221,1.9891,0.5456,3.7453,1.1887,0.0000,0.4082,0.2819,0.5210,0.2360,11394.01,0.00,0.27,0.06,4.88,0.36,0.00,0.00,0.03,0.01,3.02,0.42,0.00,0.00,2.70,0.16,0.8523
specbench / int4_genai (n=20),multi-turn conversation,adapld,245.9784,104.5060,0.0000,0.8416,0.9607,0.4085,1.8195,0.9817,0.3189,0.3137,1.3176,0.3221,1.9891,0.5456,4.6406,1.4679,0.0000,0.4082,0.2819,0.5210,0.2360,11394.01,0.00,0.27,0.06,4.91,0.33,0.00,0.00,0.03,0.01,3.06,0.42,1.33,0.22,2.73,0.17,0.8523
specbench / int4_genai (n=20),multi-turn conversation,anpd,288.5990,126.3424,0.0000,0.9846,1.1268,0.4932,1.7476,0.9347,0.4389,0.3076,0.6477,0.1259,1.3434,0.1561,3.9666,1.2457,0.0000,0.4310,0.2800,0.5473,0.2306,11394.01,0.00,0.27,0.06,4.94,0.36,0.00,0.00,0.02,0.01,3.07,0.41,0.00,0.00,2.78,0.24,0.8523
specbench / int4_genai (n=20),multi-turn conversation,cacheback,322.4319,108.3886,0.0000,1.1531,1.2586,0.4208,1.5154,0.7273,0.5592,0.4103,0.2750,0.2610,1.0551,0.0564,3.3869,0.9052,0.0000,0.6725,0.4222,0.8489,0.2725,11394.01,0.00,0.27,0.06,4.98,0.50,0.00,0.00,0.01,0.00,1.96,0.48,0.01,0.00,2.56,0.20,0.9750
specbench / int4_genai (n=20),multi-turn conversation,lookahead,298.5240,123.3065,0.0000,1.0252,1.1656,0.4818,1.8195,0.9817,0.3189,0.3137,1.3176,0.3221,1.9891,0.5456,3.8096,1.2018,0.0000,0.4082,0.2819,0.5210,0.2360,11394.01,0.00,0.27,0.06,4.92,0.36,0.00,0.00,0.03,0.01,3.05,0.44,0.00,0.00,2.81,0.39,0.8523
specbench / int4_genai (n=20),multi-turn conversation,logit_spec,228.1905,93.0335,0.0000,0.7858,0.8913,0.3634,1.7366,0.8481,0.3263,0.3163,1.2453,0.3378,1.9312,0.5460,4.9703,1.5571,0.0000,0.3544,0.2301,0.4629,0.1987,11394.01,0.00,0.27,0.06,4.93,0.40,0.06,0.04,0.02,0.00,3.32,0.40,1.24,0.18,2.85,0.21,0.8797
specbench / int4_genai (n=20),multi-turn conversation,ngram_trie,237.6123,54.7106,0.0000,0.8994,0.9276,0.2134,1.1977,0.3569,0.1371,0.1688,1.0336,0.4262,1.9051,0.4352,4.3426,0.6489,0.0000,0.2185,0.1608,0.3326,0.1622,11394.01,0.00,0.27,0.06,5.27,1.85,1.06,0.84,0.01,0.00,2.42,0.43,0.00,0.00,2.60,0.23,0.8555
specbench / int4_genai (n=20),multi-turn conversation,token_recycling,206.8607,69.3034,0.0000,0.7439,0.8080,0.2713,1.5883,0.6875,0.2497,0.2420,1.3785,0.3673,2.0961,0.5155,5.2501,1.3344,0.0000,0.3493,0.2178,0.4678,0.1990,11394.01,0.00,0.27,0.06,4.89,0.36,0.00,0.00,0.01,0.00,3.33,0.44,1.33,0.24,2.85,0.25,0.8277
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle,231.1071,96.3474,0.0000,0.7939,0.9022,0.3744,1.8161,0.9459,0.3170,0.2908,1.2781,0.3204,1.9422,0.5018,4.9193,1.5540,0.0000,0.3870,0.2447,0.5116,0.2070,11394.01,0.00,0.27,0.06,4.94,0.36,0.00,0.00,0.04,0.01,3.42,0.46,1.34,0.25,2.83,0.22,0.8762
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle_merge,224.1492,96.0259,0.0000,0.7721,0.8749,0.3729,1.8161,0.9459,0.3170,0.2908,1.2781,0.3204,1.9422,0.5018,5.0582,1.5185,0.0000,0.3870,0.2447,0.5116,0.2070,11394.01,0.00,0.27,0.06,4.94,0.36,0.00,0.00,0.20,0.70,3.44,0.44,1.36,0.24,2.90,0.17,0.8762
specbench / int4_genai (n=20),multi-turn conversation,suffix_recycle_tail,228.3986,96.4257,0.0000,0.7837,0.8917,0.3750,1.8179,0.9501,0.2925,0.2773,1.4262,0.4038,2.0906,0.5830,4.9836,1.5674,0.0000,0.3810,0.2407,0.5182,0.2047,11394.01,0.00,0.27,0.06,4.94,0.35,0.00,0.00,0.04,0.01,3.45,0.45,1.42,0.25,2.82,0.14,0.9035
specbench / int4_genai (n=20),multi-turn conversation,pld_recycle,229.3594,103.1303,0.0000,0.7745,0.8954,0.4020,1.8651,1.0189,0.2818,0.2875,1.6223,0.4675,2.2824,0.6840,5.0428,1.6557,0.0000,0.3647,0.2586,0.4793,0.2148,11394.01,0.00,0.27,0.06,4.95,0.36,0.00,0.00,0.04,0.01,3.49,0.45,1.52,0.25,2.83,0.17,0.9406
specbench / int4_genai (n=20),multi-turn conversation,rest,232.4173,15.9749,0.0000,0.9036,0.9079,0.0702,1.0228,0.0318,0.0405,0.0531,0.5473,0.3493,1.5258,0.3466,4.3224,0.3036,0.0000,0.1217,0.1186,0.2907,0.2163,11394.01,0.00,0.27,0.06,4.96,0.35,0.52,0.38,0.01,0.00,1.94,0.24,0.00,0.00,2.46,0.16,0.9004
specbench / int4_genai (n=20),multi-turn conversation,suffix_decoding,306.2350,107.3259,0.0000,1.0930,1.1955,0.4183,1.6802,0.8959,0.4419,0.2972,0.5566,0.2035,1.2773,0.1446,3.5733,0.9505,0.0000,0.4871,0.2508,0.6069,0.2118,11394.01,0.00,0.27,0.06,4.95,0.41,0.00,0.00,0.03,0.01,2.54,0.62,0.00,0.00,2.66,0.27,0.8758
specbench / int4_genai (n=20),multi-turn conversation,sam_decoding,306.9285,114.4682,0.0000,1.0794,1.1982,0.4457,1.6802,0.8959,0.4419,0.2972,0.5566,0.2035,1.2773,0.1446,3.6184,1.0487,0.0000,0.4871,0.2508,0.6069,0.2118,11394.01,0.00,0.27,0.06,4.94,0.42,0.00,0.00,0.03,0.01,2.54,0.60,0.00,0.00,2.67,0.22,0.8758
specbench / int4_genai (n=20),multi-turn conversation,stand,217.3500,77.8330,0.0000,0.7693,0.8481,0.3005,1.6020,0.7430,0.3624,0.2882,0.6980,0.1332,1.4266,0.1777,5.0767,1.4234,0.0000,0.3334,0.2176,0.4578,0.2065,11394.01,0.00,0.27,0.06,4.89,0.34,0.00,0.00,0.02,0.00,3.34,0.39,1.00,0.29,2.81,0.15,0.8797
specbench / int4_genai (n=20),multi-turn conversation,asam,301.5672,105.6342,0.0000,1.0745,1.1776,0.4126,1.6545,0.8679,0.4872,0.2952,0.4594,0.2190,1.1875,0.0785,3.6348,0.9812,0.0000,0.4974,0.2522,0.6184,0.2089,11394.01,0.00,0.27,0.06,4.97,0.37,0.00,0.00,0.03,0.01,2.55,0.61,0.00,0.00,2.66,0.20,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asam_verify,237.9017,20.3078,0.0000,0.9227,0.9292,0.0851,1.2872,0.2955,0.5412,0.2833,0.3000,0.1307,1.1117,0.0667,4.2327,0.3620,0.0000,0.5438,0.2819,0.6648,0.2227,11394.01,0.00,0.27,0.06,4.89,0.34,0.00,0.00,0.03,0.01,2.67,0.72,0.00,0.00,2.66,0.21,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asd,301.1415,110.5851,0.0000,1.0630,1.1757,0.4309,1.6545,0.8679,0.4872,0.2952,0.4594,0.2190,1.1875,0.0785,3.6742,1.0417,0.0000,0.4974,0.2522,0.6184,0.2089,11394.01,0.00,0.27,0.06,4.88,0.35,0.00,0.00,0.03,0.01,2.56,0.60,0.00,0.00,2.68,0.23,0.8762
specbench / int4_genai (n=20),multi-turn conversation,asd_verify,239.1129,18.4776,0.0000,0.9286,0.9339,0.0784,1.2872,0.2955,0.5412,0.2833,0.3000,0.1307,1.1117,0.0667,4.2058,0.3234,0.0000,0.5438,0.2819,0.6648,0.2227,11394.01,0.00,0.27,0.06,4.89,0.35,0.00,0.00,0.03,0.01,2.67,0.72,0.00,0.00,2.64,0.21,0.8762
